,,,,,,,,,,,,SRS,,,Adjusted,,
264,Nicholls State,GSC,,9,18,68.5,78.5,-9.96,,-9.33,,-8.45,-6.04,-14.48,,,
265,Hofstra,ECC,,9,19,72.2,80.3,-8.07,,-6.45,,-5.3,-9.22,-14.53,,,
266,Long Island University,ECACM,,13,14,77.7,77,0.7,,-11.45,,-1.47,-13.38,-14.85,,,
267,New Hampshire,ECACN,,4,24,,,,,-4.77,,-12.28,-2.85,-15.13,,,
268,Southeastern Louisiana,GSC,,10,21,68.3,74,-5.74,,-6.51,,-10.01,-5.12,-15.13,,,
269,Central Connecticut State,Ind,,8,21,65.6,71.9,-6.28,,-9.37,,-10.25,-4.89,-15.15,,,
270,St. Francis (NY),ECACM,,11,16,64.7,67.6,-2.85,,-10.54,,-14.91,-0.45,-15.37,,,
271,Eastern Washington,Ind,,5,23,63.4,75.9,-12.46,,-1.42,,-11.86,-3.77,-15.62,,,
272,Texas Southern,SWAC,,11,11,92,97.5,-5.5,,-8.92,,-8.01,-7.62,-15.64,,,
273,Monmouth,ECACM,,8,19,66.1,72.8,-6.67,,-7.11,,-11.52,-4.21,-15.73,,,
274,Manhattan,MAAC,,6,21,71.1,78.2,-7.07,,-4.31,,-5.6,-10.27,-15.87,,,
275,Brooklyn,Ind,,10,18,71.4,76.6,-5.18,,-9.75,,-6.07,-9.84,-15.9,,,
276,South Carolina State,MEAC,,14,15,68.1,70.7,-2.59,,-12.91,,-11.3,-4.69,-15.98,,,
277,Samford,A-Sun,,4,22,68.2,77.5,-9.27,,-5.29,,-9.64,-6.66,-16.29,,,
278,East Tennessee State,Southern,,7,21,69.6,80.1,-10.54,,-3.14,,-7.05,-9.84,-16.89,,,
279,Alcorn State,SWAC,,5,23,68.9,78.4,-9.54,,-7.83,,-9.18,-7.81,-16.99,,,
280,U.S. International,Ind,,11,17,85.1,91.1,-6.07,,-9.98,,5.11,-22.22,-17.11,,,
281,Colgate,ECACN,,4,23,65.4,76.6,-11.11,,-5.3,,-11.75,-6.01,-17.75,,,
282,Augusta State,Big South,,8,19,70,79.9,-9.81,,-7.77,,-8.05,-10.3,-18.35,,,
283,Tennessee Tech,OVC,,7,20,74.6,87.7,-13.11,,-1.18,,-1.1,-17.78,-18.88,,,
284,Bethune-Cookman,MEAC,,10,19,63.2,68.1,-4.97,,-15.06,,-17.24,-1.93,-19.17,,,
285,Morgan State,MEAC,,8,20,63.9,72.8,-8.93,,-11.13,,-14.1,-5.96,-20.06,,,
286,Coppin State,MEAC,,8,19,70.6,78.6,-8.04,,-12.35,,-6.82,-13.53,-20.35,,,
287,Armstrong,Big South,,6,22,64.7,80.9,-16.18,,-4.78,,-11.56,-10.04,-21.6,,,
288,Prairie View,SWAC,,6,22,63.7,77,-13.25,,-8.52,,-15.75,-6.55,-22.3,,,
289,Delaware State,MEAC,,4,24,60,73.3,-13.32,,-13.2,,-19.91,-7.53,-27.44,,,
290,Maryland-Eastern Shore,MEAC,,2,24,71.6,86.9,-15.35,,-10.93,,-9.05,-19.3,-28.35,,,
