,,,,,,,,,,,,SRS,,,Adjusted,,
262,Army,MAAC,,9,19,69,77.4,-8.43,,-4.75,,-8.55,-5.88,-14.42,,,
263,Campbell,Big South,,11,16,70.5,71.6,-1.07,,-9.02,,-10.61,-3.93,-14.54,,,
264,Eastern Washington,Big Sky,,6,21,64.7,74.9,-10.22,,-1.5,,-8.25,-6.46,-14.7,,,
265,Citadel,Southern,,8,20,71.4,80.3,-8.82,,-4.51,,-4.13,-10.59,-14.72,,,
266,U.S. International,Ind,,10,18,83.3,89.9,-6.61,,-7.62,,2.96,-17.79,-14.83,,,
267,Mississippi Valley State,SWAC,,8,20,73.2,81.6,-8.36,,-5.68,,-4.48,-10.56,-15.04,,,
268,Alabama State,SWAC,,8,20,84.6,93.6,-9.07,,-5.21,,4.47,-20.37,-15.89,,,
269,Brown,Ivy,,6,20,77.5,85.7,-8.23,,-5.05,,1.48,-17.39,-15.92,,,
270,Long Island University,ECACM,,14,14,82.6,82.9,-0.36,,-12.89,,2.42,-18.43,-16.01,,,
271,Columbia,Ivy,,6,20,64.4,72.7,-8.27,,-5.74,,-13.56,-2.77,-16.33,,,
272,Youngstown State,OVC,,7,21,63.8,77,-13.21,,-2.52,,-12.64,-3.69,-16.33,,,
273,Morgan State,MEAC,,13,17,75.9,75.9,0.03,,-11.14,,-7.3,-9.14,-16.44,,,
274,Central Connecticut State,Ind,,10,18,73,79.8,-6.82,,-9.55,,-5.73,-11.16,-16.88,,,
275,Florida International,Ind,,9,19,77.8,89.6,-11.86,,-5.67,,-0.54,-17.4,-17.94,,,
276,Central Florida,Ind,,9,19,77,85.9,-8.86,,-8.71,,-2.77,-15.32,-18.08,,,
277,Bethune-Cookman,MEAC,,6,21,64.4,72.3,-7.89,,-10.78,,-16.38,-2.32,-18.7,,,
278,Southeastern Louisiana,Ind,,7,21,62.1,70.9,-8.86,,-5.79,,-19.35,-0.23,-19.58,,,
279,Vermont,ECACN,,3,24,70.6,81.7,-11.07,,-7.72,,-7.05,-12.63,-19.68,,,
280,Hofstra,ECC,,6,21,66.2,72.3,-6.15,,-8.8,,-16.5,-3.21,-19.72,,,
281,Saint Francis (PA),ECACM,,7,20,68.4,76,-7.56,,-10.63,,-12.04,-8.14,-20.17,,,
282,New Hampshire,ECACN,,4,25,,,,,-7.75,,-11.94,-8.29,-20.24,,,
283,Loyola (MD),ECACM,,8,22,69,78.8,-9.8,,-9.78,,-10.19,-10.23,-20.41,,,
284,St. Francis (NY),ECACM,,11,18,66,69.2,-3.17,,-14.37,,-17.12,-3.66,-20.77,,,
285,Wagner,ECACM,,9,18,71.6,75.9,-4.3,,-12.74,,-10.43,-10.35,-20.78,,,
286,Brooklyn,Ind,,11,17,70.9,76.3,-5.39,,-10.05,,-11.5,-10.05,-21.55,,,
287,Colgate,ECACN,,4,23,66,78,-12,,-7.6,,-15.06,-6.68,-21.73,,,
288,Maryland-Eastern Shore,MEAC,,7,20,73.9,84.4,-10.52,,-11.63,,-6.65,-16.27,-22.93,,,
289,Prairie View,SWAC,,5,22,72.4,86.9,-14.48,,-7.86,,-9.34,-13.88,-23.22,,,
290,Delaware State,MEAC,,3,25,70.8,83.9,-13.14,,-12.58,,-12.94,-13.56,-26.5,,,
