,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
101,Hawaii,WAC,,16,12,71.2,69.4,1.75,,3.14,,0.64,4.26,4.89,,,
102,Western Michigan,MAC,,21,9,70.2,65.8,4.37,,0.34,,0.26,4.45,4.71,,,
103,Texas Tech,SWC,,15,14,75.4,73,2.41,,4.82,,2.66,1.89,4.56,,,
104,Long Beach State,Big West,,18,12,75.4,73.6,1.83,,4.15,,2.8,1.71,4.51,,,
105,Ohio,MAC,,18,10,71,66.2,4.82,,0.63,,0.37,4.04,4.4,,,
106,New Orleans,Sun Belt,,17,15,67.1,64.8,2.25,,2.75,,-6.04,10.43,4.39,,,
107,Southern Illinois,MVC,,22,8,74.2,68.8,5.4,,-1.07,,2.54,1.8,4.33,,,
108,South Alabama,Sun Belt,,14,14,86.1,82.9,3.21,,1.01,,11.95,-7.73,4.22,,,
109,Duquesne,A-10,,13,15,78,78.4,-0.39,,5.5,,6.39,-2.37,4.02,,,
110,Western Kentucky,Sun Belt,,21,11,79.9,75.3,4.56,,0.13,,4.89,-0.96,3.93,,,
111,Pacific,Big West,,14,16,71.8,70.9,0.97,,3.52,,-0.55,4.36,3.8,,,
112,Northwestern,Big Ten,,9,19,68.1,73.5,-5.39,,11.8,,-0.26,3.98,3.72,,,
113,Mississippi,SEC (West),,11,17,80.5,81.2,-0.68,,4.76,,7.08,-3.47,3.61,,,
114,Tulsa,MVC,,17,13,73.3,70.7,2.67,,0.99,,4.56,-1.36,3.2,,,
115,Dayton,MW Coll,,15,15,71.7,71.6,0.1,,3.04,,-1.01,4.16,3.14,,,
116,Virginia Commonwealth,Metro,,14,15,74.9,75.2,-0.38,,3.64,,2.29,0.84,3.12,,,
117,Missouri-Kansas City,Ind,,21,7,77.6,67.4,10.18,,-4.67,,0.17,2.92,3.09,,,
118,Cal State Fullerton,Big West,,12,16,75.8,76.7,-0.96,,3.79,,4.43,-1.6,2.83,,,
119,Georgia Southern,A-Sun,,25,6,91.5,80.7,10.81,,-7.19,,10.88,-8.11,2.77,,,
120,Southern Utah,Ind,,20,8,88.9,79.4,9.5,,-3.42,,10.07,-7.32,2.75,,,
121,Manhattan,MAAC,,25,9,72.1,67.4,4.74,,-2.17,,-0.9,3.46,2.56,,,
