,,,,,,,,,,,,SRS,,,Adjusted,,
264,Rider,ECC,,9,19,68.1,74.1,-5.96,,-8.24,,-5.64,-10.81,-16.45,,,
265,Campbell,Big South,,8,19,58.4,64.5,-6.04,,-9.35,,-14.79,-2.53,-17.31,,,
266,Grambling,SWAC,,14,12,61.9,66.7,-4.77,,-10.75,,-15.93,-1.59,-17.52,,,
267,Texas Southern,SWAC,,9,18,72.1,80.5,-8.41,,-8.41,,-6.04,-11.66,-17.69,,,
268,Colgate,ECACN,,1,24,49.3,58.5,-9.16,,-6.79,,-24.32,6.53,-17.79,,,
269,Saint Francis (PA),ECACM,,10,18,74.8,82.3,-7.54,,-9.25,,-0.51,-17.45,-17.96,,,
270,Long Island University,ECACM,,9,19,74,79.5,-5.54,,-10.32,,-4.05,-14.6,-18.64,,,
271,Brooklyn,Ind,,9,22,70.1,76.9,-6.84,,-8.56,,-7.04,-11.67,-18.7,,,
272,St. Francis (NY),ECACM,,9,19,64.2,68.5,-4.25,,-11.9,,-14.6,-4.34,-18.94,,,
273,Texas State,GSC,,6,22,64.7,75.4,-10.64,,-9.81,,-9.15,-10.08,-19.23,,,
274,U.S. International,Ind,,8,20,90.8,101.8,-10.96,,-6.45,,18.84,-38.12,-19.29,,,
275,Delaware State,MEAC,,11,17,66.8,68.6,-1.82,,-17.19,,-11.47,-7.87,-19.34,,,
276,South Carolina State,MEAC,,10,18,67.1,71.9,-4.75,,-14.68,,-9.45,-9.9,-19.35,,,
277,Harvard,Ivy,,6,20,60.7,68.8,-8.19,,-7.69,,-14.02,-5.71,-19.73,,,
278,Prairie View,SWAC,,5,25,66.6,76.9,-10.27,,-9.53,,-10.36,-10.18,-20.53,,,
279,Coppin State,MEAC,,10,17,63.3,68.6,-5.33,,-14.02,,-13.41,-7.65,-21.06,,,
280,Bethune-Cookman,MEAC,,7,22,69.1,78.3,-9.24,,-12.24,,-4.86,-17.38,-22.24,,,
281,Morgan State,MEAC,,7,20,61.1,72,-10.81,,-10.06,,-14.83,-7.41,-22.24,,,
282,Maryland-Eastern Shore,MEAC,,5,23,63.5,78.2,-14.71,,-11.14,,-12.94,-11.56,-24.5,,,
283,Manhattan,MAAC,,2,26,63.4,88.6,-25.25,,-5.51,,-8.04,-21.43,-29.48,,,
