,,,,,,,,,,,,SRS,,,Adjusted,,
265,Towson,ECC,,7,21,67.1,73.5,-6.32,,-6.32,,-8.32,-6.77,-15.08,,,
266,Prairie View,SWAC,,5,22,68.4,78.5,-10.11,,-5.68,,-5.99,-9.73,-15.71,,,
267,Centenary (LA),A-Sun,,7,21,,,,,-4.31,,-9.11,-6.74,-15.86,,,
268,Delaware State,MEAC,,12,17,69.4,72.3,-2.9,,-12.44,,-7.3,-8.86,-16.16,,,
269,Texas State,GSC,,6,20,62.3,73.5,-11.12,,-5.82,,-9.86,-6.63,-16.5,,,
270,Vermont,ECACN,,9,19,59.4,68.4,-9,,-5.14,,-12.57,-4.01,-16.58,,,
271,St. Francis (NY),ECACM,,7,21,58.3,65.5,-7.14,,-7.27,,-16.43,-0.59,-17.02,,,
272,Northwestern State,GSC,,3,25,66.3,79.3,-12.93,,-2.55,,-5.3,-11.96,-17.26,,,
273,Dartmouth,Ivy,,5,21,62.6,73.2,-10.54,,-6.92,,-7.21,-10.07,-17.28,,,
274,Campbell,Ind,,5,22,60.6,71.3,-10.7,,-4.11,,-11.17,-6.2,-17.37,,,
275,Colgate,ECACN,,5,21,49.3,55.8,-6.54,,-7.03,,-25.17,6.74,-18.44,,,
276,Grambling,SWAC,,8,19,62.6,71.9,-9.22,,-7.5,,-14.51,-4.32,-18.83,,,
277,Augusta State,Ind,,8,20,64.5,75.8,-11.29,,-7.06,,-9.34,-9.71,-19.06,,,
278,Georgia State,A-Sun,,2,26,66.4,83.8,-17.32,,-3.85,,-5.42,-16.93,-22.35,,,
279,Bethune-Cookman,MEAC,,8,19,67.7,78.6,-10.93,,-11.06,,-8.45,-15.37,-23.82,,,
280,Maryland-Eastern Shore,MEAC,,3,25,60.5,76.6,-16.07,,-9.55,,-14.69,-12.98,-27.67,,,
281,Morgan State,MEAC,,3,25,67.7,91.4,-23.68,,-6.77,,-3.51,-26.5,-30.01,,,
282,U.S. International,Ind,,1,27,54.9,82.8,-27.93,,-2.6,,-17.32,-14.4,-31.72,,,
